borocode,borough,tree species,steward,tree count,count_health_good,count_health_fair,count_health_poor,good,fair,poor,spccode
3,Brooklyn,cockspur hawthorn,3or4,5,4,1,0,80.0,20.0,0.0,92
4,Queens,cockspur hawthorn,None,73,64,6,3,87.67,8.22,4.11,92
4,Queens,cockspur hawthorn,3or4,6,5,0,1,83.33,0.0,16.67,92
4,Queens,cockspur hawthorn,1or2,41,25,13,3,60.98,31.71,7.32,92
5,Staten Island,cockspur hawthorn,3or4,3,3,0,0,100.0,0.0,0.0,92
5,Staten Island,cockspur hawthorn,1or2,16,13,1,2,81.25,6.25,12.5,92
5,Staten Island,cockspur hawthorn,None,71,60,4,7,84.51,5.63,9.86,92
1,Manhattan,Persian ironwood,1or2,1,1,0,0,100.0,0.0,0.0,93
2,Bronx,Persian ironwood,1or2,12,9,3,0,75.0,25.0,0.0,93
2,Bronx,Persian ironwood,None,17,14,3,0,82.35,17.65,0.0,93
3,Brooklyn,Persian ironwood,None,39,32,5,2,82.05,12.82,5.13,93
3,Brooklyn,Persian ironwood,4orMore,1,1,0,0,100.0,0.0,0.0,93
3,Brooklyn,Persian ironwood,3or4,2,2,0,0,100.0,0.0,0.0,93
3,Brooklyn,Persian ironwood,1or2,25,18,7,0,72.0,28.0,0.0,93
4,Queens,Persian ironwood,3or4,4,4,0,0,100.0,0.0,0.0,93
4,Queens,Persian ironwood,4orMore,1,1,0,0,100.0,0.0,0.0,93
4,Queens,Persian ironwood,None,93,77,11,5,82.8,11.83,5.38,93
4,Queens,Persian ironwood,1or2,59,43,11,5,72.88,18.64,8.47,93
5,Staten Island,Persian ironwood,None,16,12,4,0,75.0,25.0,0.0,93
5,Staten Island,Persian ironwood,1or2,7,5,1,1,71.43,14.29,14.29,93
1,Manhattan,silver linden,1or2,257,178,63,16,69.26,24.51,6.23,94
1,Manhattan,silver linden,None,194,142,35,17,73.2,18.04,8.76,94
1,Manhattan,silver linden,3or4,79,54,18,7,68.35,22.78,8.86,94
1,Manhattan,silver linden,4orMore,11,8,1,2,72.73,9.09,18.18,94
2,Bronx,silver linden,None,525,434,66,25,82.67,12.57,4.76,94
2,Bronx,silver linden,1or2,142,113,23,6,79.58,16.2,4.23,94
2,Bronx,silver linden,3or4,3,3,0,0,100.0,0.0,0.0,94
3,Brooklyn,silver linden,1or2,679,564,89,26,83.06,13.11,3.83,94
3,Brooklyn,silver linden,None,1586,1269,240,77,80.01,15.13,4.85,94
3,Brooklyn,silver linden,3or4,103,89,9,5,86.41,8.74,4.85,94
3,Brooklyn,silver linden,4orMore,5,5,0,0,100.0,0.0,0.0,94
4,Queens,silver linden,3or4,63,51,10,2,80.95,15.87,3.17,94
4,Queens,silver linden,None,3297,2985,249,63,90.54,7.55,1.91,94
4,Queens,silver linden,1or2,784,697,75,12,88.9,9.57,1.53,94
4,Queens,silver linden,4orMore,2,2,0,0,100.0,0.0,0.0,94
5,Staten Island,silver linden,3or4,3,3,0,0,100.0,0.0,0.0,94
5,Staten Island,silver linden,None,204,187,13,4,91.67,6.37,1.96,94
5,Staten Island,silver linden,1or2,58,49,8,1,84.48,13.79,1.72,94
1,Manhattan,pine,1or2,1,0,1,0,0.0,100.0,0.0,95
1,Manhattan,pine,None,2,1,1,0,50.0,50.0,0.0,95
2,Bronx,pine,None,16,14,2,0,87.5,12.5,0.0,95
2,Bronx,pine,1or2,3,2,0,1,66.67,0.0,33.33,95
3,Brooklyn,pine,None,34,28,4,2,82.35,11.76,5.88,95
3,Brooklyn,pine,1or2,11,8,2,1,72.73,18.18,9.09,95
4,Queens,pine,3or4,2,2,0,0,100.0,0.0,0.0,95
4,Queens,pine,4orMore,2,2,0,0,100.0,0.0,0.0,95
4,Queens,pine,None,150,125,20,5,83.33,13.33,3.33,95
4,Queens,pine,1or2,40,39,1,0,97.5,2.5,0.0,95
5,Staten Island,pine,None,20,17,1,2,85.0,5.0,10.0,95
5,Staten Island,pine,1or2,8,7,1,0,87.5,12.5,0.0,95
1,Manhattan,southern magnolia,1or2,9,7,2,0,77.78,22.22,0.0,96
1,Manhattan,southern magnolia,None,6,4,2,0,66.67,33.33,0.0,96
1,Manhattan,southern magnolia,3or4,4,4,0,0,100.0,0.0,0.0,96
2,Bronx,southern magnolia,3or4,1,1,0,0,100.0,0.0,0.0,96
2,Bronx,southern magnolia,None,13,10,3,0,76.92,23.08,0.0,96
2,Bronx,southern magnolia,1or2,5,5,0,0,100.0,0.0,0.0,96
3,Brooklyn,southern magnolia,None,14,11,1,2,78.57,7.14,14.29,96
3,Brooklyn,southern magnolia,1or2,13,11,1,1,84.62,7.69,7.69,96
4,Queens,southern magnolia,3or4,4,4,0,0,100.0,0.0,0.0,96
4,Queens,southern magnolia,1or2,14,14,0,0,100.0,0.0,0.0,96
4,Queens,southern magnolia,None,30,25,2,3,83.33,6.67,10.0,96
5,Staten Island,southern magnolia,None,15,14,1,0,93.33,6.67,0.0,96
5,Staten Island,southern magnolia,3or4,1,1,0,0,100.0,0.0,0.0,96
5,Staten Island,southern magnolia,1or2,3,3,0,0,100.0,0.0,0.0,96
1,Manhattan,willow oak,4orMore,4,4,0,0,100.0,0.0,0.0,97
1,Manhattan,willow oak,None,356,286,54,16,80.34,15.17,4.49,97
1,Manhattan,willow oak,1or2,385,328,47,10,85.19,12.21,2.6,97
1,Manhattan,willow oak,3or4,144,129,14,1,89.58,9.72,0.69,97
2,Bronx,willow oak,None,397,365,25,7,91.94,6.3,1.76,97
2,Bronx,willow oak,3or4,13,11,2,0,84.62,15.38,0.0,97
2,Bronx,willow oak,1or2,95,77,15,3,81.05,15.79,3.16,97
3,Brooklyn,willow oak,1or2,227,188,32,7,82.82,14.1,3.08,97
3,Brooklyn,willow oak,3or4,31,24,5,2,77.42,16.13,6.45,97
3,Brooklyn,willow oak,None,539,449,64,26,83.3,11.87,4.82,97
3,Brooklyn,willow oak,4orMore,5,4,0,1,80.0,0.0,20.0,97
4,Queens,willow oak,3or4,13,12,1,0,92.31,7.69,0.0,97
4,Queens,willow oak,1or2,156,129,19,8,82.69,12.18,5.13,97
4,Queens,willow oak,None,561,509,45,7,90.73,8.02,1.25,97
5,Staten Island,willow oak,3or4,4,4,0,0,100.0,0.0,0.0,97
5,Staten Island,willow oak,1or2,42,29,11,2,69.05,26.19,4.76,97
5,Staten Island,willow oak,None,212,177,26,9,83.49,12.26,4.25,97
1,Manhattan,river birch,3or4,6,3,3,0,50.0,50.0,0.0,98
1,Manhattan,river birch,None,3,2,1,0,66.67,33.33,0.0,98
1,Manhattan,river birch,1or2,18,15,1,2,83.33,5.56,11.11,98
2,Bronx,river birch,1or2,23,18,2,3,78.26,8.7,13.04,98
2,Bronx,river birch,None,32,24,7,1,75.0,21.88,3.12,98
3,Brooklyn,river birch,None,80,72,7,1,90.0,8.75,1.25,98
3,Brooklyn,river birch,1or2,31,25,6,0,80.65,19.35,0.0,98
3,Brooklyn,river birch,3or4,5,4,1,0,80.0,20.0,0.0,98
4,Queens,river birch,3or4,2,2,0,0,100.0,0.0,0.0,98
4,Queens,river birch,None,109,93,14,2,85.32,12.84,1.83,98
4,Queens,river birch,1or2,96,73,14,9,76.04,14.58,9.38,98
4,Queens,river birch,4orMore,1,1,0,0,100.0,0.0,0.0,98
5,Staten Island,river birch,1or2,70,48,18,4,68.57,25.71,5.71,98
5,Staten Island,river birch,None,87,77,7,3,88.51,8.05,3.45,98
5,Staten Island,river birch,3or4,2,2,0,0,100.0,0.0,0.0,98
1,Manhattan,American larch,1or2,2,0,2,0,0.0,100.0,0.0,99
1,Manhattan,American larch,3or4,1,0,0,1,0.0,0.0,100.0,99
1,Manhattan,American larch,None,4,3,1,0,75.0,25.0,0.0,99
2,Bronx,American larch,None,8,6,2,0,75.0,25.0,0.0,99
2,Bronx,American larch,3or4,3,2,1,0,66.67,33.33,0.0,99
2,Bronx,American larch,1or2,1,1,0,0,100.0,0.0,0.0,99
3,Brooklyn,American larch,1or2,2,2,0,0,100.0,0.0,0.0,99
3,Brooklyn,American larch,None,6,6,0,0,100.0,0.0,0.0,99
4,Queens,American larch,1or2,3,3,0,0,100.0,0.0,0.0,99
4,Queens,American larch,None,7,5,2,0,71.43,28.57,0.0,99
5,Staten Island,American larch,1or2,4,4,0,0,100.0,0.0,0.0,99
5,Staten Island,American larch,None,5,5,0,0,100.0,0.0,0.0,99
1,Manhattan,littleleaf linden,4orMore,38,23,9,6,60.53,23.68,15.79,100
1,Manhattan,littleleaf linden,3or4,447,295,102,50,66.0,22.82,11.19,100
1,Manhattan,littleleaf linden,None,1455,870,376,209,59.79,25.84,14.36,100
1,Manhattan,littleleaf linden,1or2,1393,888,309,196,63.75,22.18,14.07,100
2,Bronx,littleleaf linden,None,3196,2557,478,161,80.01,14.96,5.04,100
2,Bronx,littleleaf linden,4orMore,2,2,0,0,100.0,0.0,0.0,100
2,Bronx,littleleaf linden,3or4,34,22,9,3,64.71,26.47,8.82,100
2,Bronx,littleleaf linden,1or2,685,521,128,36,76.06,18.69,5.26,100
3,Brooklyn,littleleaf linden,3or4,269,225,36,8,83.64,13.38,2.97,100
3,Brooklyn,littleleaf linden,1or2,2419,1980,332,107,81.85,13.72,4.42,100
3,Brooklyn,littleleaf linden,4orMore,29,27,1,1,93.1,3.45,3.45,100
3,Brooklyn,littleleaf linden,None,6186,4867,941,378,78.68,15.21,6.11,100
4,Queens,littleleaf linden,3or4,150,107,24,19,71.33,16.0,12.67,100
4,Queens,littleleaf linden,4orMore,7,5,2,0,71.43,28.57,0.0,100
4,Queens,littleleaf linden,None,9532,8061,1131,340,84.57,11.87,3.57,100
4,Queens,littleleaf linden,1or2,2213,1739,345,129,78.58,15.59,5.83,100
5,Staten Island,littleleaf linden,3or4,11,9,2,0,81.82,18.18,0.0,100
5,Staten Island,littleleaf linden,None,1405,1171,172,62,83.35,12.24,4.41,100
5,Staten Island,littleleaf linden,4orMore,1,1,0,0,100.0,0.0,0.0,100
5,Staten Island,littleleaf linden,1or2,270,212,43,15,78.52,15.93,5.56,100
1,Manhattan,Callery pear,None,2788,2091,523,174,75.0,18.76,6.24,101
1,Manhattan,Callery pear,1or2,3124,2258,658,208,72.28,21.06,6.66,101
1,Manhattan,Callery pear,4orMore,79,66,13,0,83.54,16.46,0.0,101
1,Manhattan,Callery pear,3or4,1306,967,280,59,74.04,21.44,4.52,101
2,Bronx,Callery pear,4orMore,3,2,1,0,66.67,33.33,0.0,101
2,Bronx,Callery pear,None,4127,3641,407,79,88.22,9.86,1.91,101
2,Bronx,Callery pear,3or4,59,51,7,1,86.44,11.86,1.69,101
2,Bronx,Callery pear,1or2,758,642,93,23,84.7,12.27,3.03,101
3,Brooklyn,Callery pear,4orMore,37,32,5,0,86.49,13.51,0.0,101
3,Brooklyn,Callery pear,None,5945,5092,708,145,85.65,11.91,2.44,101
3,Brooklyn,Callery pear,3or4,444,380,59,5,85.59,13.29,1.13,101
3,Brooklyn,Callery pear,1or2,2655,2292,310,53,86.33,11.68,2.0,101
4,Queens,Callery pear,4orMore,43,39,3,1,90.7,6.98,2.33,101
4,Queens,Callery pear,None,12857,10642,1885,330,82.77,14.66,2.57,101
4,Queens,Callery pear,3or4,311,270,37,4,86.82,11.9,1.29,101
4,Queens,Callery pear,1or2,3336,2794,429,113,83.75,12.86,3.39,101
5,Staten Island,Callery pear,None,15384,12029,2595,760,78.19,16.87,4.94,101
5,Staten Island,Callery pear,3or4,454,411,37,6,90.53,8.15,1.32,101
5,Staten Island,Callery pear,1or2,5188,4341,719,128,83.67,13.86,2.47,101
5,Staten Island,Callery pear,4orMore,33,33,0,0,100.0,0.0,0.0,101
1,Manhattan,paper birch,1or2,22,15,3,4,68.18,13.64,18.18,102
1,Manhattan,paper birch,None,15,10,4,1,66.67,26.67,6.67,102
1,Manhattan,paper birch,3or4,10,7,3,0,70.0,30.0,0.0,102
2,Bronx,paper birch,None,40,28,9,3,70.0,22.5,7.5,102
2,Bronx,paper birch,3or4,3,3,0,0,100.0,0.0,0.0,102
2,Bronx,paper birch,1or2,19,14,4,1,73.68,21.05,5.26,102
3,Brooklyn,paper birch,3or4,19,18,1,0,94.74,5.26,0.0,102
3,Brooklyn,paper birch,1or2,55,40,14,1,72.73,25.45,1.82,102
3,Brooklyn,paper birch,None,60,48,8,4,80.0,13.33,6.67,102
4,Queens,paper birch,3or4,9,7,2,0,77.78,22.22,0.0,102
4,Queens,paper birch,None,97,80,11,6,82.47,11.34,6.19,102
4,Queens,paper birch,1or2,62,50,8,4,80.65,12.9,6.45,102
4,Queens,paper birch,4orMore,2,1,0,1,50.0,0.0,50.0,102
5,Staten Island,paper birch,1or2,36,24,10,2,66.67,27.78,5.56,102
5,Staten Island,paper birch,None,83,72,9,2,86.75,10.84,2.41,102
5,Staten Island,paper birch,3or4,3,3,0,0,100.0,0.0,0.0,102
1,Manhattan,black pine,None,1,1,0,0,100.0,0.0,0.0,103
1,Manhattan,black pine,3or4,2,2,0,0,100.0,0.0,0.0,103
2,Bronx,black pine,None,2,2,0,0,100.0,0.0,0.0,103
3,Brooklyn,black pine,None,3,2,1,0,66.67,33.33,0.0,103
3,Brooklyn,black pine,1or2,2,1,1,0,50.0,50.0,0.0,103
4,Queens,black pine,1or2,6,3,1,2,50.0,16.67,33.33,103
4,Queens,black pine,None,18,6,12,0,33.33,66.67,0.0,103
5,Staten Island,black pine,None,2,1,1,0,50.0,50.0,0.0,103
5,Staten Island,black pine,1or2,1,0,0,1,0.0,0.0,100.0,103
1,Manhattan,quaking aspen,None,2,1,1,0,50.0,50.0,0.0,104
2,Bronx,quaking aspen,None,5,3,2,0,60.0,40.0,0.0,104
3,Brooklyn,quaking aspen,3or4,6,5,1,0,83.33,16.67,0.0,104
3,Brooklyn,quaking aspen,None,12,10,2,0,83.33,16.67,0.0,104
3,Brooklyn,quaking aspen,1or2,3,2,0,1,66.67,0.0,33.33,104
4,Queens,quaking aspen,1or2,1,1,0,0,100.0,0.0,0.0,104
4,Queens,quaking aspen,None,34,30,3,1,88.24,8.82,2.94,104
5,Staten Island,quaking aspen,1or2,4,4,0,0,100.0,0.0,0.0,104
5,Staten Island,quaking aspen,None,16,12,1,3,75.0,6.25,18.75,104
1,Manhattan,American beech,None,12,8,1,3,66.67,8.33,25.0,105
1,Manhattan,American beech,1or2,10,7,3,0,70.0,30.0,0.0,105
2,Bronx,American beech,3or4,2,1,1,0,50.0,50.0,0.0,105
2,Bronx,American beech,1or2,6,2,3,1,33.33,50.0,16.67,105
2,Bronx,American beech,None,23,18,3,2,78.26,13.04,8.7,105
3,Brooklyn,American beech,None,43,30,8,5,69.77,18.6,11.63,105
3,Brooklyn,American beech,1or2,38,27,10,1,71.05,26.32,2.63,105
3,Brooklyn,American beech,3or4,2,2,0,0,100.0,0.0,0.0,105
4,Queens,American beech,1or2,27,23,3,1,85.19,11.11,3.7,105
4,Queens,American beech,4orMore,1,1,0,0,100.0,0.0,0.0,105
4,Queens,American beech,None,57,46,5,6,80.7,8.77,10.53,105
4,Queens,American beech,3or4,3,3,0,0,100.0,0.0,0.0,105
5,Staten Island,American beech,3or4,3,3,0,0,100.0,0.0,0.0,105
5,Staten Island,American beech,1or2,18,17,0,1,94.44,0.0,5.56,105
5,Staten Island,American beech,None,28,26,1,1,92.86,3.57,3.57,105
1,Manhattan,cherry,3or4,66,46,17,3,69.7,25.76,4.55,106
1,Manhattan,cherry,4orMore,7,3,4,0,42.86,57.14,0.0,106
1,Manhattan,cherry,1or2,343,265,54,24,77.26,15.74,7.0,106
1,Manhattan,cherry,None,453,360,67,26,79.47,14.79,5.74,106
2,Bronx,cherry,3or4,58,49,7,2,84.48,12.07,3.45,106
2,Bronx,cherry,1or2,1255,1028,159,68,81.91,12.67,5.42,106
2,Bronx,cherry,4orMore,3,3,0,0,100.0,0.0,0.0,106
2,Bronx,cherry,None,2776,2270,372,134,81.77,13.4,4.83,106
3,Brooklyn,cherry,1or2,2119,1724,296,99,81.36,13.97,4.67,106
3,Brooklyn,cherry,3or4,210,177,23,10,84.29,10.95,4.76,106
3,Brooklyn,cherry,None,3360,2735,457,168,81.4,13.6,5.0,106
3,Brooklyn,cherry,4orMore,17,17,0,0,100.0,0.0,0.0,106
4,Queens,cherry,4orMore,38,33,5,0,86.84,13.16,0.0,106
4,Queens,cherry,3or4,299,269,20,10,89.97,6.69,3.34,106
4,Queens,cherry,1or2,3509,3085,314,110,87.92,8.95,3.13,106
4,Queens,cherry,None,9651,8265,1018,368,85.64,10.55,3.81,106
5,Staten Island,cherry,4orMore,7,7,0,0,100.0,0.0,0.0,106
5,Staten Island,cherry,None,3579,2914,442,223,81.42,12.35,6.23,106
5,Staten Island,cherry,1or2,1399,1162,182,55,83.06,13.01,3.93,106
5,Staten Island,cherry,3or4,130,114,11,5,87.69,8.46,3.85,106
1,Manhattan,scarlet oak,None,45,34,5,6,75.56,11.11,13.33,107
1,Manhattan,scarlet oak,1or2,20,17,3,0,85.0,15.0,0.0,107
1,Manhattan,scarlet oak,3or4,6,5,0,1,83.33,0.0,16.67,107
2,Bronx,scarlet oak,1or2,74,57,13,4,77.03,17.57,5.41,107
2,Bronx,scarlet oak,3or4,6,6,0,0,100.0,0.0,0.0,107
2,Bronx,scarlet oak,None,222,185,28,9,83.33,12.61,4.05,107
3,Brooklyn,scarlet oak,None,561,360,167,34,64.17,29.77,6.06,107
3,Brooklyn,scarlet oak,3or4,23,23,0,0,100.0,0.0,0.0,107
3,Brooklyn,scarlet oak,1or2,136,100,26,10,73.53,19.12,7.35,107
4,Queens,scarlet oak,None,186,153,30,3,82.26,16.13,1.61,107
4,Queens,scarlet oak,1or2,86,62,21,3,72.09,24.42,3.49,107
4,Queens,scarlet oak,3or4,4,4,0,0,100.0,0.0,0.0,107
5,Staten Island,scarlet oak,3or4,3,2,1,0,66.67,33.33,0.0,107
5,Staten Island,scarlet oak,1or2,17,10,7,0,58.82,41.18,0.0,107
5,Staten Island,scarlet oak,None,76,67,6,3,88.16,7.89,3.95,107
1,Manhattan,kousa dogwood,None,2,2,0,0,100.0,0.0,0.0,108
1,Manhattan,kousa dogwood,1or2,11,8,2,1,72.73,18.18,9.09,108
2,Bronx,kousa dogwood,3or4,1,1,0,0,100.0,0.0,0.0,108
2,Bronx,kousa dogwood,None,30,23,7,0,76.67,23.33,0.0,108
2,Bronx,kousa dogwood,1or2,10,10,0,0,100.0,0.0,0.0,108
3,Brooklyn,kousa dogwood,3or4,5,4,1,0,80.0,20.0,0.0,108
3,Brooklyn,kousa dogwood,None,39,32,5,2,82.05,12.82,5.13,108
3,Brooklyn,kousa dogwood,1or2,28,23,5,0,82.14,17.86,0.0,108
4,Queens,kousa dogwood,3or4,7,3,4,0,42.86,57.14,0.0,108
4,Queens,kousa dogwood,1or2,42,39,3,0,92.86,7.14,0.0,108
4,Queens,kousa dogwood,None,72,55,12,5,76.39,16.67,6.94,108
5,Staten Island,kousa dogwood,None,31,19,6,6,61.29,19.35,19.35,108
5,Staten Island,kousa dogwood,1or2,24,16,6,2,66.67,25.0,8.33,108
1,Manhattan,blackgum,None,5,4,1,0,80.0,20.0,0.0,109
1,Manhattan,blackgum,3or4,1,1,0,0,100.0,0.0,0.0,109
1,Manhattan,blackgum,1or2,3,2,1,0,66.67,33.33,0.0,109
2,Bronx,blackgum,3or4,1,0,1,0,0.0,100.0,0.0,109
2,Bronx,blackgum,None,10,6,4,0,60.0,40.0,0.0,109
2,Bronx,blackgum,1or2,17,13,4,0,76.47,23.53,0.0,109
3,Brooklyn,blackgum,3or4,23,21,2,0,91.3,8.7,0.0,109
3,Brooklyn,blackgum,1or2,29,17,11,1,58.62,37.93,3.45,109
3,Brooklyn,blackgum,None,68,54,8,6,79.41,11.76,8.82,109
3,Brooklyn,blackgum,4orMore,3,2,1,0,66.67,33.33,0.0,109
4,Queens,blackgum,None,41,30,9,2,73.17,21.95,4.88,109
4,Queens,blackgum,1or2,29,22,3,4,75.86,10.34,13.79,109
4,Queens,blackgum,3or4,6,6,0,0,100.0,0.0,0.0,109
5,Staten Island,blackgum,3or4,1,1,0,0,100.0,0.0,0.0,109
5,Staten Island,blackgum,None,31,29,2,0,93.55,6.45,0.0,109
5,Staten Island,blackgum,1or2,20,14,4,2,70.0,20.0,10.0,109
1,Manhattan,Osage-orange,1or2,1,1,0,0,100.0,0.0,0.0,110
2,Bronx,Osage-orange,None,3,2,1,0,66.67,33.33,0.0,110
3,Brooklyn,Osage-orange,1or2,5,5,0,0,100.0,0.0,0.0,110
3,Brooklyn,Osage-orange,3or4,2,2,0,0,100.0,0.0,0.0,110
3,Brooklyn,Osage-orange,None,1,1,0,0,100.0,0.0,0.0,110
4,Queens,Osage-orange,3or4,1,1,0,0,100.0,0.0,0.0,110
4,Queens,Osage-orange,None,8,7,1,0,87.5,12.5,0.0,110
4,Queens,Osage-orange,1or2,3,3,0,0,100.0,0.0,0.0,110
5,Staten Island,Osage-orange,1or2,3,2,1,0,66.67,33.33,0.0,110
5,Staten Island,Osage-orange,None,2,2,0,0,100.0,0.0,0.0,110
1,Manhattan,pignut hickory,1or2,1,0,1,0,0.0,100.0,0.0,111
2,Bronx,pignut hickory,1or2,1,1,0,0,100.0,0.0,0.0,111
2,Bronx,pignut hickory,None,6,4,1,1,66.67,16.67,16.67,111
3,Brooklyn,pignut hickory,1or2,7,5,2,0,71.43,28.57,0.0,111
3,Brooklyn,pignut hickory,None,9,8,1,0,88.89,11.11,0.0,111
4,Queens,pignut hickory,None,45,35,8,2,77.78,17.78,4.44,111
4,Queens,pignut hickory,3or4,1,1,0,0,100.0,0.0,0.0,111
4,Queens,pignut hickory,1or2,8,7,1,0,87.5,12.5,0.0,111
5,Staten Island,pignut hickory,None,20,14,5,1,70.0,25.0,5.0,111
5,Staten Island,pignut hickory,1or2,1,1,0,0,100.0,0.0,0.0,111
1,Manhattan,spruce,None,1,0,1,0,0.0,100.0,0.0,112
2,Bronx,spruce,1or2,2,2,0,0,100.0,0.0,0.0,112
2,Bronx,spruce,None,7,6,1,0,85.71,14.29,0.0,112
3,Brooklyn,spruce,3or4,2,2,0,0,100.0,0.0,0.0,112
3,Brooklyn,spruce,1or2,14,13,1,0,92.86,7.14,0.0,112
3,Brooklyn,spruce,None,16,9,5,2,56.25,31.25,12.5,112
4,Queens,spruce,3or4,6,5,1,0,83.33,16.67,0.0,112
4,Queens,spruce,1or2,51,44,6,1,86.27,11.76,1.96,112
4,Queens,spruce,None,69,51,15,3,73.91,21.74,4.35,112
5,Staten Island,spruce,1or2,6,5,0,1,83.33,0.0,16.67,112
5,Staten Island,spruce,None,28,15,13,0,53.57,46.43,0.0,112
1,Manhattan,tree of heaven,1or2,30,25,4,1,83.33,13.33,3.33,113
1,Manhattan,tree of heaven,None,66,50,12,4,75.76,18.18,6.06,113
1,Manhattan,tree of heaven,4orMore,1,1,0,0,100.0,0.0,0.0,113
1,Manhattan,tree of heaven,3or4,7,6,1,0,85.71,14.29,0.0,113
2,Bronx,tree of heaven,1or2,5,5,0,0,100.0,0.0,0.0,113
2,Bronx,tree of heaven,None,77,48,20,9,62.34,25.97,11.69,113
3,Brooklyn,tree of heaven,4orMore,1,1,0,0,100.0,0.0,0.0,113
3,Brooklyn,tree of heaven,1or2,32,22,8,2,68.75,25.0,6.25,113
3,Brooklyn,tree of heaven,3or4,4,3,1,0,75.0,25.0,0.0,113
3,Brooklyn,tree of heaven,None,198,121,51,26,61.11,25.76,13.13,113
4,Queens,tree of heaven,1or2,18,16,2,0,88.89,11.11,0.0,113
4,Queens,tree of heaven,None,253,197,45,11,77.87,17.79,4.35,113
5,Staten Island,tree of heaven,None,54,34,17,3,62.96,31.48,5.56,113
5,Staten Island,tree of heaven,1or2,10,10,0,0,100.0,0.0,0.0,113
1,Manhattan,Japanese snowbell,1or2,3,2,0,1,66.67,0.0,33.33,114
1,Manhattan,Japanese snowbell,None,9,6,1,2,66.67,11.11,22.22,114
1,Manhattan,Japanese snowbell,3or4,3,1,2,0,33.33,66.67,0.0,114
2,Bronx,Japanese snowbell,3or4,5,2,1,2,40.0,20.0,40.0,114
2,Bronx,Japanese snowbell,None,34,27,3,4,79.41,8.82,11.76,114
2,Bronx,Japanese snowbell,1or2,16,12,2,2,75.0,12.5,12.5,114
3,Brooklyn,Japanese snowbell,None,53,30,15,8,56.6,28.3,15.09,114
3,Brooklyn,Japanese snowbell,3or4,2,1,1,0,50.0,50.0,0.0,114
3,Brooklyn,Japanese snowbell,1or2,33,26,6,1,78.79,18.18,3.03,114
4,Queens,Japanese snowbell,1or2,96,79,11,6,82.29,11.46,6.25,114
4,Queens,Japanese snowbell,None,90,70,17,3,77.78,18.89,3.33,114
4,Queens,Japanese snowbell,4orMore,2,2,0,0,100.0,0.0,0.0,114
4,Queens,Japanese snowbell,3or4,10,9,1,0,90.0,10.0,0.0,114
5,Staten Island,Japanese snowbell,1or2,10,7,3,0,70.0,30.0,0.0,114
5,Staten Island,Japanese snowbell,None,26,22,2,2,84.62,7.69,7.69,114
1,Manhattan,Scots pine,1or2,2,2,0,0,100.0,0.0,0.0,115
2,Bronx,Scots pine,None,1,1,0,0,100.0,0.0,0.0,115
2,Bronx,Scots pine,1or2,1,1,0,0,100.0,0.0,0.0,115
3,Brooklyn,Scots pine,None,3,2,1,0,66.67,33.33,0.0,115
4,Queens,Scots pine,None,10,8,1,1,80.0,10.0,10.0,115
4,Queens,Scots pine,1or2,5,5,0,0,100.0,0.0,0.0,115
5,Staten Island,Scots pine,1or2,3,2,1,0,66.67,33.33,0.0,115
1,Manhattan,eastern cottonwood,None,4,2,1,1,50.0,25.0,25.0,116
1,Manhattan,eastern cottonwood,1or2,6,4,1,1,66.67,16.67,16.67,116
2,Bronx,eastern cottonwood,None,47,30,15,2,63.83,31.91,4.26,116
2,Bronx,eastern cottonwood,1or2,8,7,1,0,87.5,12.5,0.0,116
2,Bronx,eastern cottonwood,4orMore,1,1,0,0,100.0,0.0,0.0,116
3,Brooklyn,eastern cottonwood,None,31,21,4,6,67.74,12.9,19.35,116
3,Brooklyn,eastern cottonwood,1or2,7,4,2,1,57.14,28.57,14.29,116
3,Brooklyn,eastern cottonwood,3or4,2,2,0,0,100.0,0.0,0.0,116
4,Queens,eastern cottonwood,4orMore,1,1,0,0,100.0,0.0,0.0,116
4,Queens,eastern cottonwood,3or4,1,1,0,0,100.0,0.0,0.0,116
4,Queens,eastern cottonwood,None,89,73,11,5,82.02,12.36,5.62,116
4,Queens,eastern cottonwood,1or2,15,12,1,2,80.0,6.67,13.33,116
5,Staten Island,eastern cottonwood,1or2,4,4,0,0,100.0,0.0,0.0,116
5,Staten Island,eastern cottonwood,None,60,47,12,1,78.33,20.0,1.67,116
1,Manhattan,bald cypress,3or4,16,11,3,2,68.75,18.75,12.5,117
1,Manhattan,bald cypress,1or2,32,17,10,5,53.12,31.25,15.62,117
1,Manhattan,bald cypress,None,41,28,7,6,68.29,17.07,14.63,117
2,Bronx,bald cypress,1or2,37,31,5,1,83.78,13.51,2.7,117
2,Bronx,bald cypress,None,48,34,6,8,70.83,12.5,16.67,117
3,Brooklyn,bald cypress,None,352,275,54,23,78.12,15.34,6.53,117
3,Brooklyn,bald cypress,4orMore,2,0,0,2,0.0,0.0,100.0,117
3,Brooklyn,bald cypress,1or2,261,214,36,11,81.99,13.79,4.21,117
3,Brooklyn,bald cypress,3or4,30,29,0,1,96.67,0.0,3.33,117
4,Queens,bald cypress,1or2,99,87,10,2,87.88,10.1,2.02,117
4,Queens,bald cypress,3or4,9,7,2,0,77.78,22.22,0.0,117
4,Queens,bald cypress,None,205,170,24,11,82.93,11.71,5.37,117
5,Staten Island,bald cypress,1or2,33,30,2,1,90.91,6.06,3.03,117
5,Staten Island,bald cypress,None,93,80,6,7,86.02,6.45,7.53,117
